id,label
035001.png,5
035002.png,0
035003.png,0
035004.png,5
035005.png,5
035006.png,0
035007.png,3
035008.png,7
035009.png,7
035010.png,7
035011.png,1
035012.png,4
035013.png,5
035014.png,1
035015.png,4
035016.png,1
035017.png,3
035018.png,4
035019.png,1
035020.png,6
035021.png,0
035022.png,0
035023.png,5
035024.png,8
035025.png,4
035026.png,4
035027.png,3
035028.png,5
035029.png,8
035030.png,3
035031.png,5
035032.png,0
035033.png,1
035034.png,1
035035.png,3
035036.png,7
035037.png,2
035038.png,6
035039.png,6
035040.png,0
035041.png,3
035042.png,6
035043.png,0
035044.png,0
035045.png,3
035046.png,5
035047.png,7
035048.png,3
035049.png,0
035050.png,1
035051.png,0
035052.png,3
035053.png,7
035054.png,1
035055.png,1
035056.png,7
035057.png,7
035058.png,7
035059.png,4
035060.png,1
035061.png,6
035062.png,4
035063.png,0
035064.png,1
035065.png,3
035066.png,3
035067.png,4
035068.png,2
035069.png,5
035070.png,1
035071.png,3
035072.png,1
035073.png,7
035074.png,6
035075.png,6
035076.png,3
035077.png,0
035078.png,0
035079.png,7
035080.png,4
035081.png,7
035082.png,3
035083.png,8
035084.png,3
035085.png,1
035086.png,7
035087.png,5
035088.png,4
035089.png,7
035090.png,2
035091.png,4
035092.png,8
035093.png,4
035094.png,3
035095.png,6
035096.png,8
035097.png,1
035098.png,1
035099.png,0
035100.png,2
035101.png,0
035102.png,5
035103.png,5
035104.png,8
035105.png,7
035106.png,2
035107.png,5
035108.png,3
035109.png,1
035110.png,2
035111.png,2
035112.png,3
035113.png,5
035114.png,0
035115.png,6
035116.png,2
035117.png,0
035118.png,1
035119.png,2
035120.png,4
035121.png,4
035122.png,8
035123.png,5
035124.png,0
035125.png,5
035126.png,0
035127.png,0
035128.png,3
035129.png,3
035130.png,1
035131.png,8
035132.png,2
035133.png,7
035134.png,7
035135.png,6
035136.png,4
035137.png,6
035138.png,6
035139.png,7
035140.png,2
035141.png,0
035142.png,4
035143.png,6
035144.png,8
035145.png,3
035146.png,2
035147.png,7
035148.png,2
035149.png,2
035150.png,0
035151.png,4
035152.png,5
035153.png,4
035154.png,0
035155.png,5
035156.png,6
035157.png,3
035158.png,1
035159.png,4
035160.png,4
035161.png,3
035162.png,1
035163.png,1
035164.png,5
035165.png,3
035166.png,1
035167.png,7
035168.png,2
035169.png,1
035170.png,5
035171.png,8
035172.png,0
035173.png,3
035174.png,8
035175.png,2
035176.png,6
035177.png,8
035178.png,6
035179.png,6
035180.png,7
035181.png,3
035182.png,0
035183.png,8
035184.png,8
035185.png,7
035186.png,5
035187.png,6
035188.png,2
035189.png,2
035190.png,3
035191.png,7
035192.png,4
035193.png,6
035194.png,8
035195.png,3
035196.png,1
035197.png,5
035198.png,3
035199.png,6
035200.png,4
035201.png,5
035202.png,0
035203.png,3
035204.png,4
035205.png,1
035206.png,8
035207.png,6
035208.png,1
035209.png,1
035210.png,5
035211.png,0
035212.png,8
035213.png,1
035214.png,1
035215.png,0
035216.png,2
035217.png,4
035218.png,4
035219.png,1
035220.png,0
035221.png,5
035222.png,8
035223.png,7
035224.png,2
035225.png,8
035226.png,5
035227.png,0
035228.png,1
035229.png,4
035230.png,6
035231.png,7
035232.png,2
035233.png,3
035234.png,8
035235.png,7
035236.png,4
035237.png,0
035238.png,7
035239.png,6
035240.png,1
035241.png,6
035242.png,5
035243.png,1
035244.png,7
035245.png,4
035246.png,3
035247.png,7
035248.png,8
035249.png,2
035250.png,8
035251.png,1
035252.png,6
035253.png,3
035254.png,8
035255.png,8
035256.png,5
035257.png,2
035258.png,3
035259.png,6
035260.png,2
035261.png,3
035262.png,1
035263.png,7
035264.png,2
035265.png,7
035266.png,4
035267.png,1
035268.png,7
035269.png,7
035270.png,3
035271.png,8
035272.png,1
035273.png,1
035274.png,6
035275.png,4
035276.png,6
035277.png,5
035278.png,2
035279.png,3
035280.png,4
035281.png,2
035282.png,2
035283.png,8
035284.png,0
035285.png,4
035286.png,1
035287.png,2
035288.png,5
035289.png,0
035290.png,6
035291.png,8
035292.png,1
035293.png,8
035294.png,8
035295.png,5
035296.png,2
035297.png,1
035298.png,7
035299.png,6
035300.png,5
035301.png,2
035302.png,6
035303.png,4
035304.png,2
035305.png,6
035306.png,1
035307.png,5
035308.png,1
035309.png,4
035310.png,0
035311.png,5
035312.png,5
035313.png,7
035314.png,1
035315.png,6
035316.png,2
035317.png,4
035318.png,3
035319.png,1
035320.png,5
035321.png,2
035322.png,0
035323.png,4
035324.png,8
035325.png,2
035326.png,8
035327.png,3
035328.png,2
035329.png,4
035330.png,4
035331.png,8
035332.png,0
035333.png,0
035334.png,7
035335.png,7
035336.png,3
035337.png,8
035338.png,7
035339.png,3
035340.png,7
035341.png,8
035342.png,1
035343.png,2
035344.png,3
035345.png,2
035346.png,6
035347.png,3
035348.png,8
035349.png,3
035350.png,2
035351.png,1
035352.png,5
035353.png,1
035354.png,2
035355.png,2
035356.png,5
035357.png,7
035358.png,0
035359.png,1
035360.png,2
035361.png,2
035362.png,0
035363.png,1
035364.png,7
035365.png,1
035366.png,1
035367.png,8
035368.png,4
035369.png,2
035370.png,0
035371.png,0
035372.png,5
035373.png,0
035374.png,6
035375.png,3
035376.png,5
035377.png,3
035378.png,2
035379.png,7
035380.png,2
035381.png,0
035382.png,7
035383.png,0
035384.png,7
035385.png,3
035386.png,3
035387.png,6
035388.png,5
035389.png,1
035390.png,7
035391.png,3
035392.png,4
035393.png,5
035394.png,5
035395.png,8
035396.png,3
035397.png,2
035398.png,7
035399.png,3
035400.png,3
035401.png,4
035402.png,6
035403.png,0
035404.png,2
035405.png,4
035406.png,0
035407.png,6
035408.png,4
035409.png,5
035410.png,4
035411.png,8
035412.png,4
035413.png,4
035414.png,6
035415.png,7
035416.png,5
035417.png,1
035418.png,2
035419.png,2
035420.png,5
035421.png,6
035422.png,4
035423.png,2
035424.png,1
035425.png,3
035426.png,6
035427.png,8
035428.png,2
035429.png,6
035430.png,4
035431.png,6
035432.png,2
035433.png,0
035434.png,4
035435.png,0
035436.png,8
035437.png,5
035438.png,1
035439.png,1
035440.png,0
035441.png,3
035442.png,1
035443.png,6
035444.png,5
035445.png,2
035446.png,7
035447.png,6
035448.png,1
035449.png,1
035450.png,1
035451.png,8
035452.png,6
035453.png,3
035454.png,3
035455.png,8
035456.png,2
035457.png,0
035458.png,4
035459.png,2
035460.png,8
035461.png,8
035462.png,7
035463.png,2
035464.png,0
035465.png,7
035466.png,2
035467.png,1
035468.png,0
035469.png,7
035470.png,4
035471.png,0
035472.png,3
035473.png,7
035474.png,3
035475.png,2
035476.png,2
035477.png,5
035478.png,8
035479.png,4
035480.png,5
035481.png,4
035482.png,4
035483.png,2
035484.png,1
035485.png,3
035486.png,1
035487.png,6
035488.png,4
035489.png,2
035490.png,7
035491.png,2
035492.png,2
035493.png,8
035494.png,6
035495.png,6
035496.png,6
035497.png,6
035498.png,1
035499.png,4
035500.png,2
035501.png,0
035502.png,0
035503.png,4
035504.png,7
035505.png,8
035506.png,5
035507.png,6
035508.png,5
035509.png,8
035510.png,2
035511.png,1
035512.png,1
035513.png,8
035514.png,6
035515.png,3
035516.png,8
035517.png,5
035518.png,2
035519.png,0
035520.png,7
035521.png,1
035522.png,5
035523.png,0
035524.png,1
035525.png,0
035526.png,5
035527.png,1
035528.png,1
035529.png,7
035530.png,3
035531.png,8
035532.png,0
035533.png,6
035534.png,2
035535.png,4
035536.png,5
035537.png,2
035538.png,5
035539.png,2
035540.png,7
035541.png,0
035542.png,5
035543.png,2
035544.png,2
035545.png,6
035546.png,5
035547.png,7
035548.png,3
035549.png,1
035550.png,3
035551.png,6
035552.png,6
035553.png,8
035554.png,5
035555.png,7
035556.png,3
035557.png,3
035558.png,8
035559.png,5
035560.png,6
035561.png,3
035562.png,0
035563.png,6
035564.png,6
035565.png,3
035566.png,4
035567.png,6
035568.png,8
035569.png,5
035570.png,4
035571.png,5
035572.png,0
035573.png,2
035574.png,0
035575.png,8
035576.png,1
035577.png,7
035578.png,2
035579.png,0
035580.png,2
035581.png,8
035582.png,5
035583.png,3
035584.png,5
035585.png,7
035586.png,8
035587.png,2
035588.png,5
035589.png,2
035590.png,0
035591.png,6
035592.png,2
035593.png,3
035594.png,4
035595.png,4
035596.png,8
035597.png,1
035598.png,4
035599.png,3
035600.png,2
035601.png,0
035602.png,5
035603.png,6
035604.png,1
035605.png,2
035606.png,7
035607.png,4
035608.png,4
035609.png,5
035610.png,5
035611.png,2
035612.png,8
035613.png,8
035614.png,0
035615.png,0
035616.png,4
035617.png,8
035618.png,2
035619.png,2
035620.png,3
035621.png,5
035622.png,3
035623.png,0
035624.png,2
035625.png,4
035626.png,3
035627.png,2
035628.png,0
035629.png,1
035630.png,1
035631.png,5
035632.png,2
035633.png,4
035634.png,6
035635.png,7
035636.png,1
035637.png,7
035638.png,4
035639.png,2
035640.png,7
035641.png,8
035642.png,3
035643.png,0
035644.png,7
035645.png,4
035646.png,6
035647.png,1
035648.png,2
035649.png,1
035650.png,7
035651.png,1
035652.png,7
035653.png,0
035654.png,2
035655.png,1
035656.png,7
035657.png,2
035658.png,0
035659.png,2
035660.png,8
035661.png,6
035662.png,3
035663.png,8
035664.png,4
035665.png,7
035666.png,3
035667.png,0
035668.png,1
035669.png,2
035670.png,6
035671.png,4
035672.png,8
035673.png,8
035674.png,4
035675.png,6
035676.png,4
035677.png,2
035678.png,2
035679.png,8
035680.png,7
035681.png,5
035682.png,4
035683.png,1
035684.png,1
035685.png,7
035686.png,2
035687.png,8
035688.png,4
035689.png,7
035690.png,5
035691.png,2
035692.png,2
035693.png,2
035694.png,5
035695.png,4
035696.png,7
035697.png,2
035698.png,6
035699.png,4
035700.png,1
035701.png,7
035702.png,3
035703.png,2
035704.png,2
035705.png,2
035706.png,4
035707.png,7
035708.png,6
035709.png,5
035710.png,2
035711.png,1
035712.png,0
035713.png,8
035714.png,6
035715.png,5
035716.png,0
035717.png,5
035718.png,4
035719.png,2
035720.png,2
035721.png,0
035722.png,7
035723.png,1
035724.png,4
035725.png,8
035726.png,6
035727.png,7
035728.png,5
035729.png,1
035730.png,2
035731.png,8
035732.png,0
035733.png,2
035734.png,0
035735.png,3
035736.png,6
035737.png,8
035738.png,2
035739.png,8
035740.png,1
035741.png,6
035742.png,4
035743.png,2
035744.png,5
035745.png,0
035746.png,3
035747.png,4
035748.png,6
035749.png,5
035750.png,1
035751.png,8
035752.png,2
035753.png,8
035754.png,7
035755.png,3
035756.png,8
035757.png,3
035758.png,5
035759.png,2
035760.png,1
035761.png,4
035762.png,3
035763.png,5
035764.png,8
035765.png,6
035766.png,2
035767.png,7
035768.png,5
035769.png,3
035770.png,3
035771.png,2
035772.png,3
035773.png,6
035774.png,3
035775.png,3
035776.png,8
035777.png,6
035778.png,2
035779.png,1
035780.png,7
035781.png,1
035782.png,1
035783.png,8
035784.png,6
035785.png,6
035786.png,3
035787.png,4
035788.png,8
035789.png,4
035790.png,8
035791.png,5
035792.png,2
035793.png,8
035794.png,5
035795.png,5
035796.png,3
035797.png,3
035798.png,2
035799.png,5
035800.png,0
035801.png,5
035802.png,8
035803.png,3
035804.png,5
035805.png,2
035806.png,6
035807.png,3
035808.png,3
035809.png,6
035810.png,8
035811.png,1
035812.png,6
035813.png,1
035814.png,7
035815.png,5
035816.png,1
035817.png,5
035818.png,0
035819.png,4
035820.png,7
035821.png,0
035822.png,8
035823.png,6
035824.png,6
035825.png,4
035826.png,6
035827.png,5
035828.png,6
035829.png,3
035830.png,0
035831.png,3
035832.png,1
035833.png,8
035834.png,4
035835.png,8
035836.png,6
035837.png,6
035838.png,1
035839.png,4
035840.png,7
035841.png,6
035842.png,7
035843.png,5
035844.png,7
035845.png,1
035846.png,7
035847.png,1
035848.png,8
035849.png,5
035850.png,3
035851.png,3
035852.png,1
035853.png,1
035854.png,7
035855.png,8
035856.png,3
035857.png,1
035858.png,5
035859.png,4
035860.png,6
035861.png,8
035862.png,7
035863.png,3
035864.png,8
035865.png,2
035866.png,0
035867.png,8
035868.png,8
035869.png,8
035870.png,5
035871.png,0
035872.png,6
035873.png,0
035874.png,4
035875.png,3
035876.png,3
035877.png,0
035878.png,5
035879.png,3
035880.png,5
035881.png,0
035882.png,1
035883.png,2
035884.png,3
035885.png,4
035886.png,1
035887.png,4
035888.png,8
035889.png,1
035890.png,2
035891.png,1
035892.png,2
035893.png,0
035894.png,8
035895.png,5
035896.png,3
035897.png,2
035898.png,3
035899.png,5
035900.png,7
035901.png,7
035902.png,6
035903.png,4
035904.png,7
035905.png,3
035906.png,5
035907.png,0
035908.png,3
035909.png,4
035910.png,8
035911.png,4
035912.png,6
035913.png,5
035914.png,3
035915.png,8
035916.png,7
035917.png,3
035918.png,5
035919.png,2
035920.png,8
035921.png,2
035922.png,5
035923.png,1
035924.png,8
035925.png,7
035926.png,0
035927.png,1
035928.png,0
035929.png,3
035930.png,8
035931.png,6
035932.png,5
035933.png,7
035934.png,3
035935.png,0
035936.png,6
035937.png,7
035938.png,0
035939.png,0
035940.png,2
035941.png,8
035942.png,8
035943.png,6
035944.png,5
035945.png,5
035946.png,7
035947.png,1
035948.png,6
035949.png,2
035950.png,7
035951.png,2
035952.png,0
035953.png,8
035954.png,5
035955.png,8
035956.png,6
035957.png,2
035958.png,3
035959.png,1
035960.png,8
035961.png,4
035962.png,6
035963.png,3
035964.png,8
035965.png,0
035966.png,4
035967.png,0
035968.png,0
035969.png,0
035970.png,2
035971.png,8
035972.png,5
035973.png,3
035974.png,2
035975.png,2
035976.png,2
035977.png,7
035978.png,7
035979.png,1
035980.png,3
035981.png,7
035982.png,2
035983.png,5
035984.png,8
035985.png,4
035986.png,8
035987.png,7
035988.png,7
035989.png,7
035990.png,7
035991.png,3
035992.png,8
035993.png,3
035994.png,1
035995.png,3
035996.png,2
035997.png,2
035998.png,4
035999.png,0
036000.png,4
036001.png,5
036002.png,0
036003.png,6
036004.png,4
036005.png,1
036006.png,7
036007.png,3
036008.png,4
036009.png,8
036010.png,6
036011.png,7
036012.png,6
036013.png,7
036014.png,4
036015.png,6
036016.png,3
036017.png,3
036018.png,3
036019.png,2
036020.png,2
036021.png,5
036022.png,3
036023.png,5
036024.png,4
036025.png,2
036026.png,4
036027.png,1
036028.png,5
036029.png,6
036030.png,8
036031.png,3
036032.png,6
036033.png,3
036034.png,8
036035.png,4
036036.png,0
036037.png,4
036038.png,7
036039.png,0
036040.png,7
036041.png,2
036042.png,5
036043.png,2
036044.png,1
036045.png,5
036046.png,2
036047.png,4
036048.png,5
036049.png,0
036050.png,5
036051.png,4
036052.png,2
036053.png,2
036054.png,3
036055.png,5
036056.png,3
036057.png,1
036058.png,8
036059.png,7
036060.png,7
036061.png,0
036062.png,8
036063.png,2
036064.png,2
036065.png,8
036066.png,3
036067.png,5
036068.png,0
036069.png,4
036070.png,8
036071.png,4
036072.png,1
036073.png,5
036074.png,3
036075.png,7
036076.png,2
036077.png,2
036078.png,4
036079.png,8
036080.png,2
036081.png,0
036082.png,8
036083.png,3
036084.png,7
036085.png,1
036086.png,0
036087.png,7
036088.png,5
036089.png,5
036090.png,3
036091.png,1
036092.png,1
036093.png,0
036094.png,4
036095.png,4
036096.png,0
036097.png,8
036098.png,8
036099.png,7
036100.png,5
036101.png,2
036102.png,8
036103.png,4
036104.png,1
036105.png,5
036106.png,2
036107.png,6
036108.png,4
036109.png,7
